pull_id,pull_no,title,body
420018875,8919,b'RavenDB-12810 Dispose write transaction even when replay operation canceled in the middle',b'https://issues.hibernatingrhinos.com/issue/RavenDB-12810'
420008870,8918,b'RavenDB-13060 ',b'https://issues.hibernatingrhinos.com/issue/RavenDB-13060'
419989462,8917,b'RavenDB-12965 database group screen is jumping when one node is down',b''
419943922,8916,"b""RavenDB-11645 The version isn't alligned in the cluster view""",b''
419934512,8915,b'RavenDB-7177 [Studio : Databases : Create] adjustments',b''
419922913,8914,b'RavenDB-12104 Recover from exception during accepting TCP connection',b''
419883338,8913,b'RavenDB-10312 Document View - Buttons Minors',b''
419875584,8912,b'Raven db 10858',b''
419846977,8911,b'RavenDB-13071 fix NRE',b''
419691952,8910,b'RavenDB-12555 more space for indexing table in dashboard',b''
419667942,8909,b'RavenDB-10022 [Dashboard] Indicate each frame when it is polled',b''
419589008,8908,b'4.1 to 4.2 merge',b''
419508687,8907,b'RavenDB-13064 minor',b'https://issues.hibernatingrhinos.com/issue/RavenDB-13064'
419484036,8906,b'RavenDB-12999 buttons blended with background on create encrypted dat\xe2\x80\xa6',b'\xe2\x80\xa6abase'
419462613,8905,b'RavenDB-13048 double escaping in studio',b''
419409665,8904,b'RavenDB-13037 cluster stabilization',b''
419245443,8903,b'RavenDB-13021 Add throttling to cluster view',b''
419240820,8902,b'RavenDB-13044 Database displayed 2 times in db switcher',b''
419240179,8901,b'RavenDB-13045 Docs icon not visible on databases view for a promotabl\xe2\x80\xa6',b'\xe2\x80\xa6e node'
419212207,8900,b'RavenDB-13059 - Add an endpoint to get the server store storage report',b'https://issues.hibernatingrhinos.com/issue/RavenDB-13059'
419179673,8899,b'[RDoc-1412] add Obsolete for SkipRevisionCreation in DatabaseSmugglerOptions',b''
419112898,8898,b'RavenDB-13038 upgraded Jint',b''
419102760,8897,b'4.1 to 4.2 merge',b''
419102469,8896,b'RavenDB-12947 better message',b''
418690311,8895,b'RavenDB-7070 Fixing build in VALIDATE',b''
418525628,8894,b'RavenDB-13043 Studio is an installable progressive web app (PWA)',"b""To see it in action, you need:\r\n\r\n- The Studio running under HTTPS. (Required for PWA and service worker APIs.)\r\n- Use Chrome (Other browsers currently have spotty support for this.)\r\n- Use the Studio for more than 30 seconds or so. (Chrome heuristic.)\r\n\r\nOnce you've done this, you can install the Studio either through Chrome's app menu or through the Studio UI.\r\n\r\nChrome menu:\r\n![image](https://user-images.githubusercontent.com/312936/53991889-2f843400-40f1-11e9-97e0-9bc14ef67d56.png)\r\n\r\nStudio UI:\r\n![image](https://user-images.githubusercontent.com/312936/53991614-9fde8580-40f0-11e9-8d25-1ab25c28f1c0.png)\r\n\r\nDoing either will cause the browser to prompt for install:\r\n\r\n![image](https://user-images.githubusercontent.com/312936/53991915-3e6ae680-40f1-11e9-9223-235ce920562f.png)\r\n\r\nIf the user accepts installation, Raven Studio will launch in its own window without browser chrome or address bar:\r\n\r\n![image](https://user-images.githubusercontent.com/312936/53991949-50e52000-40f1-11e9-95c2-4e58416508a0.png)\r\n\r\nAnd the app will be in the start menu and on the taskbar:\r\n\r\n![image](https://user-images.githubusercontent.com/312936/53992027-74a86600-40f1-11e9-905e-43daf94e2c9a.png)"""
418437348,8893,b'RavenDB-13039 Shared global indexes can become out of sync if a tx mo\xe2\x80\xa6',b'\xe2\x80\xa6ve them between embedded / large states on different tables.\r\n\r\nAvoid heap corruption / AVE when we are using two tables with a shared index and a particular access pattern'
418318201,8892,b'Raven db 13005',b''
418317131,8891,b'RavenDB-12839 update rainbow in menu',b''
418265467,8890,b'RavenDB-9165: Add OutOfMemoryException handling to recovery tool.',b''
418241169,8889,b'RavenDB-12942 Support vertical layout in the studio (edit document)',b''
418210488,8888,b'RavenDB-6931 assert @attachments not modified',b''
418180813,8887,b'RavenDB-9435 fix runtime prerequisites for libicu',b''
417940673,8886,b'RavenDB-12898 Limit size of counter groups',b'https://issues.hibernatingrhinos.com/issue/RavenDB-12898'
417852781,8885,b'RavenDB-11346: Add systemd daemon of ravendb.service',b''
417777485,8884,b'Raven db 12242',b''
417775642,8883,b'RavenDB-12946 Restore CheckIfIdAlreadyIncluded for load with includes',b''
417775505,8882,b'RavenDB-12889 Provide the user to find an ongoing task by name',b''
417766967,8881,b'RavenDB-12917 Merge database record configuration in import',b''
417763122,8880,b'RavenDB-13025 break the loop for notifying cluster topology updates e\xe2\x80\xa6',b'\xe2\x80\xa6arly if the leader was changed.'
417759814,8879,b'RavenDB-13025: Add stacktrace to CatastrophicFailure',b''
417757698,8878,b'RavenDB-13023 fix can_backup_and_restore_snapshot and can_backup_and_restore',b''
417456012,8877,b'4.1 to 4.2 merge',b''
417453307,8876,b'RavenDB-13017 added SkipChecksumValidationOnDatabaseLoading to Config\xe2\x80\xa6',b'\xe2\x80\xa6urationStorage'
417372521,8875,"b""RavenDB-6931 making sure we don't modify @attachments via patch""",b''
417341870,8874,b'RavenDB-12720: Create configuration for logs retention time',b''
417294391,8873,b'RavenDB-13011 Clear remains of removed node in the DatabaseRecord',b''
417284422,8872,b'RavenDB-13018: Make sure we count iterated documents in subscription \xe2\x80\xa6',b'\xe2\x80\xa6batch for skipped documents as we do for filtered ones.'
417245704,8871,b'RavenDB-12736 fixing PR comments',b''
417149108,8870,b'4.1 to 4.2 merge',b''
416907432,8869,b'RavenDB-12860 [For Review][WIP] Tcp multiple ips',b'@ayende @ppekrol please review this PR since there is a lot of margin for errors here'
416862886,8868,b'RavenDB-13017: Database Loading Logging - Add Information + Add Stora\xe2\x80\xa6',b'\xe2\x80\xa6ge.SkipChecksumOnRecovery Config Option'
416783636,8867,b'RavenDB-12736 cluster stabilization',b''
416689165,8866,b'RavenDB-12939 Add subscription toggle in export and import view',b''
416675889,8865,b'4.1 to 4.2 merge',b''
416549896,8864,b'RavenDB-12945 removed GlobalHttpClientTimeout',b''
416534187,8863,b'RavenDB-11470 Restore should not generate new change vectors',b''
416521449,8862,b'4.1 to 4.2 merge',b''
416520112,8861,b'RavenDB-11725: Fix test LZ4',b''
416518458,8860,b'RavenDB-12957 removing protection from memory methods leaving just Ge\xe2\x80\xa6',b'\xe2\x80\xa6tLazyStringForFieldWithCachingUnlikely'
416516255,8859,b'4.1 to 4.2 merge',b''
416505115,8858,b'RavenDB-12874: CanPreformSeveralClusterTransactions - add NoTimeouts(\xe2\x80\xa6',b'\xe2\x80\xa6) to prevent flackiness due to slow response while slow testing'
416502109,8857,b'RavenDB-12960 fixed possible SOE after receiving HttpStatus.Gone',b'TEST'
